"행정구역","2024년11월_계_총인구수","2024년11월_계_연령구간인구수","2024년11월_계_0~9세","2024년11월_계_10~19세","2024년11월_계_20~29세","2024년11월_계_30~39세","2024년11월_계_40~49세","2024년11월_계_50~59세","2024년11월_계_60~69세","2024년11월_계_70~79세","2024년11월_계_80~89세","2024년11월_계_90~99세","2024년11월_계_100세 이상","2024년11월_남_총인구수","2024년11월_남_연령구간인구수","2024년11월_남_0~9세","2024년11월_남_10~19세","2024년11월_남_20~29세","2024년11월_남_30~39세","2024년11월_남_40~49세","2024년11월_남_50~59세","2024년11월_남_60~69세","2024년11월_남_70~79세","2024년11월_남_80~89세","2024년11월_남_90~99세","2024년11월_남_100세 이상","2024년11월_여_총인구수","2024년11월_여_연령구간인구수","2024년11월_여_0~9세","2024년11월_여_10~19세","2024년11월_여_20~29세","2024년11월_여_30~39세","2024년11월_여_40~49세","2024년11월_여_50~59세","2024년11월_여_60~69세","2024년11월_여_70~79세","2024년11월_여_80~89세","2024년11월_여_90~99세","2024년11월_여_100세 이상"
"인천광역시  (2800000000)","3,018,589","3,018,589","195,612","272,300","352,523","420,990","476,421","516,797","457,907","211,156","98,288","16,095","500","1,508,189","1,508,189","100,217","139,625","182,203","219,908","244,928","257,576","225,954","98,221","35,966","3,495","96","1,510,400","1,510,400","95,395","132,675","170,320","201,082","231,493","259,221","231,953","112,935","62,322","12,600","404"
"인천광역시 중구 (2811000000)","166,354","166,354","12,437","15,060","21,119","26,926","28,468","25,278","20,019","11,170","5,025","818","34","86,001","86,001","6,406","7,639","10,593","14,662","15,257","13,899","10,179","5,243","1,934","181","8","80,353","80,353","6,031","7,421","10,526","12,264","13,211","11,379","9,840","5,927","3,091","637","26"
"인천광역시 동구 (2814000000)","58,382","58,382","2,592","4,401","5,792","6,353","8,546","9,837","10,214","6,732","3,398","498","19","29,263","29,263","1,345","2,333","3,040","3,442","4,587","5,166","5,002","2,988","1,267","87","6","29,119","29,119","1,247","2,068","2,752","2,911","3,959","4,671","5,212","3,744","2,131","411","13"
"인천광역시 미추홀구 (2817700000)","412,534","412,534","23,570","31,797","50,914","57,121","62,761","68,275","64,013","34,893","16,633","2,492","65","207,641","207,641","12,074","16,339","26,939","30,648","33,413","34,823","30,830","15,672","6,322","571","10","204,893","204,893","11,496","15,458","23,975","26,473","29,348","33,452","33,183","19,221","10,311","1,921","55"
"인천광역시 연수구 (2818500000)","400,174","400,174","33,148","45,913","46,707","55,659","69,808","67,104","51,795","19,388","8,907","1,692","53","198,119","198,119","16,832","23,503","24,091","27,757","34,282","32,790","25,996","9,271","3,231","360","6","202,055","202,055","16,316","22,410","22,616","27,902","35,526","34,314","25,799","10,117","5,676","1,332","47"
"인천광역시 남동구 (2820000000)","486,663","486,663","26,605","45,300","57,143","61,077","76,895","86,248","77,559","36,955","16,308","2,497","76","241,482","241,482","13,657","23,279","29,499","32,328","39,164","42,626","37,571","16,952","5,876","514","16","245,181","245,181","12,948","22,021","27,644","28,749","37,731","43,622","39,988","20,003","10,432","1,983","60"
"인천광역시 부평구 (2823700000)","492,193","492,193","27,436","38,715","58,740","72,546","72,093","85,945","79,819","36,785","17,308","2,724","82","241,947","241,947","14,076","19,953","29,781","37,811","36,725","41,467","38,516","16,774","6,223","606","15","250,246","250,246","13,360","18,762","28,959","34,735","35,368","44,478","41,303","20,011","11,085","2,118","67"
"인천광역시 계양구 (2824500000)","280,623","280,623","13,078","22,085","34,202","37,096","38,827","54,462","51,352","18,864","9,078","1,525","54","139,536","139,536","6,663","11,195","17,908","19,698","19,762","26,269","25,680","8,968","3,056","329","8","141,087","141,087","6,415","10,890","16,294","17,398","19,065","28,193","25,672","9,896","6,022","1,196","46"
"인천광역시 서구 (2826000000)","632,347","632,347","53,474","63,795","71,265","97,671","109,925","105,394","81,741","32,857","13,813","2,334","78","318,170","318,170","27,474","32,680","36,292","49,851","56,704","52,864","41,200","15,644","4,954","489","18","314,177","314,177","26,000","31,115","34,973","47,820","53,221","52,530","40,541","17,213","8,859","1,845","60"
"인천광역시 강화군 (2871000000)","69,299","69,299","2,673","4,302","4,318","4,868","7,020","11,024","16,557","10,790","6,516","1,207","24","34,644","34,644","1,386","2,205","2,425","2,602","3,702","5,797","8,324","5,314","2,595","286","8","34,655","34,655","1,287","2,097","1,893","2,266","3,318","5,227","8,233","5,476","3,921","921","16"
"인천광역시 옹진군 (2872000000)","20,020","20,020","599","932","2,323","1,673","2,078","3,230","4,838","2,722","1,302","308","15","11,386","11,386","304","499","1,635","1,109","1,332","1,875","2,656","1,395","508","72","1","8,634","8,634","295","433","688","564","746","1,355","2,182","1,327","794","236","14"
