도로,가로등기구(개)_나트륨램프,가로등기구(개)_메탈램프,가로등기구(개)_씨디앰램프,가로등기구(개)_시피오램프,가로등기구(개)_무전극램프,가로등기구(개)_엘이디램프,가로등기구(개)_기타램프,제어함(개소),선로(킬로미터),보안등(개),가로등주 형태별(본)_1등용,가로등주 형태별(본)_2등용,가로등주 형태별(본)_3등용,가로등주 형태별(본)_4등용,가로등주 형태별(본)_기타,가로등주 재질별(본)_스텐리스,가로등주 재질별(본)_주물,가로등주 재질별(본)_강관,가로등주 재질별(본)_알루미늄
중구,1555,0,4980,0,0,14847,131,675,501,5273,15788,929,73,43,4,6930,220,9688,0
동구,0,0,25,0,0,2684,0,141,33,2963,689,928,74,0,0,902,30,745,0
미추홀구,0,0,1503,0,0,8352,0,361,184,10243,4335,498,0,2,3,1031,0,3804,0
연수구,0,0,86,0,0,25453,0,680,222,2169,9677,1774,786,0,0,6947,0,4502,789
남동구,0,0,515,0,0,19063,0,767,496,7814,11951,763,0,0,0,6589,0,6125,0
부평구,15,0,973,30,0,9202,0,474,205,7129,6332,290,4,8,0,3670,218,2690,0
계양구,170,3,647,6,31,8287,89,382,182,3431,6088,385,1,0,0,2056,0,4435,0
서구,199,3370,1806,849,0,27751,0,1195,626,8156,17778,1326,1,1,77,10105,18,8999,61
강화군,10,1,32,0,0,6593,40,337,209,11253,5930,375,0,0,0,6305,0,0,0
옹진군,0,0,0,0,0,2479,0,210,88,3270,2474,5,0,0,0,532,31,1492,0
