행정구역,총범죄량,총인구수,인구수당범죄율,경찰서수,CCTV수량,가로등수,편의점 개수
중구,1783,166354,0.010718107169049137,7,1437,61637,154
동구,452,58382,0.00774211229488541,3,1002,9214,42
미추홀구,4227,412534,0.010246428173192998,1,3008,30316,249
연수구,2816,400174,0.007036938931564769,6,1922,53085,211
남동구,3876,486663,0.00796444356772551,10,2786,54083,217
부평구,5391,492193,0.010953020461485637,11,2294,31240,195
계양구,2163,280623,0.007707850033675073,5,2642,26193,177
서구,4264,632347,0.006743133121529793,8,3734,82318,207
강화군,536,69299,0.007734599344867891,13,2005,31085,134
옹진군,125,20020,0.006243756243756244,6,536,10581,34
